id	conclusion	premises	stance	rank
S54d229b5-A77e40cdb	Students should be allowed to wear religious dress	Some schools do have different rules for religious students, so that those students can express their beliefs. For example, a school might let Muslim girls wear some of their religious items of clothing mixed with the school uniform (e.g., Reading Girls' School)[2].  	CON	1
S54d229b5-A4f967b97	Students should be allowed to wear religious dress	If children are religious, they should be allowed to wear the clothes that express their religion, but school a uniform can often restrict this. Religious beliefs can be extremely valuable and important to many children, giving their lives a great deal of meaning and structure and inspiring them to work hard and behave compassionately in a school environment. Some religions place a great deal of value upon worn symbols of faith, such as turbans, headdresses and bracelets. When a school demands that a child remove these symbols, it inadvertently attacks something central to that child’s life. This may cause the child to see her school and her faith as mutually exclusive institutions[1]. Vulnerable young people should not be forced into an adversarial relationship with their school, as close, collaborative involvement with teaching and learning techniques will greatly effect a child’s ability to adapt, learn and acquire new skills in the future. For example, school skirts are often not long enough for Muslim girls, who believe that they should cover most of their bodies. To allow children to express their religions, we should get rid of school uniforms.	PRO	2
S17e66c01-A79b3d945	this house will ban school uniforms	"Resolution: School Uniforms don't bother kids. Many kids believe that school uniforms should be banned because they don't like the right of not choosing what they where. However many people are challenging this idea now. Scientists conclude that having uniforms is good because it keeps you less concerned on what you wear and more concerned on other things. Also it is very easy to know what school you go to or it is not like having everyone looking at what you wear. For example do you really want people to know you by what you where? People might bully you if you wear bad clothes or clothes with a low price. But uniforms... No problem! Everyone wears the same thing and no one would bother what you wear because they wear the same thing. Also In some countries, like the U.K., Japan, Hong Kong, and several African countries, school uniforms are worn in almost every school. In other countries, like France and Germany, school uniforms are only worn in a few schools, or even none. However, in some of these countries opinions are changing. For example, both France1 and Germany2 have recently considered bringing school uniforms back, and in the U.S.A. the percentage of public schools in which children wear a uniform has increased from 11.8 in 1999-2000 to 17.5 in 2007-20083. On the other hand, some schools in the U.K. have gotten rid of school uniforms4. With such different rules in these different countries, it is important to think about whether or not school uniforms are really necessary, and why. School uniforms create a sense of equality School catchment areas are diverse and in private schools, some children are there on a scholarship. So, without uniforms there are clear indicators of wealth between what children wear. This makes poorer children stand out, (or even possibly the reverse). Children can then be bullied for being different, which diminishes a child's enjoyment of school. A study in New York has shown that 84% of parents think uniforms promote equality, and 89% of guidance counselors think uniforms help teach children to be more accepting of others who are less fortunate[3]. This perception among parents will help create the same perception among their children. This is also likely to translate to the teachers who will therefore treat their pupils more equally. School uniforms contribute to the sense of school unity Schools that have a uniform often say that they do so because wearing a uniform helps their students feel a sense of unity and pride in their school (e.g., Sacred Heart Catholic School, 2010)[15]. The headmistress of Fulham Cross School in London, England, has been quoted as saying that introducing a uniform at her school gave students ""an incredible sense of pride""; after the introduction of a school uniform, GCSE passes at her school rose from 42 to 53 per cent[16]. This sense of unity is especially important on school trips, where teachers need to be able to tell which children belong to their school, so that no one gets lost. School uniforms encourage discipline Having to wear smart clothes encourages children to respect their school and their teachers and behave themselves. This is because of the association between smart clothes and work. Casual wear at school can also make students feel over-relaxed and 'at home,' meaning they don't focus as much on work. A lot of schools are bringing back school uniform because they want to improve discipline[21]. Moreover, school uniform can actively encourage students to enter into an adversarial relationship with the curriculum and their teachers. Exercising arbitrary control over children in the interests of ""discipline"" is likely to convince them that the very sensible, rational principles of learning and critical thought that they acquire during the school day are equally arbitrary and meaningless. By refusing to allow children to participate in enjoyable, beguiling processes of discovery and understanding unless they comply with unjustified and meaningless rules about dress, schools risk being seen as oppressive and capricious by their students. Thank you. Sorces... http://idebate.org..."	CON	3
S54d229b5-Afde673b8	School uniforms encourage discipline	Researchers have actually found that having to wear a school uniform does not make children better behaved. For example, Brunsma and Rockquemore[22] looked at data for more than 4,500 students and found that those who wore a school uniform did not have fewer behavioural problems or better attendance. School uniform does not encourage discipline, so there is no need to make children wear one. improve this  	CON	4
S54d229b5-A93e04afe	School uniforms contribute to the sense of school unity	School uniforms might help improve the feeling of unity within schools, but pride in one's school is dependent on being distinct and different from another school. This can lead increase rivalry between schools (already present from school sports matches). There are many examples of school rivalry (often made worse by the fact that children from different schools are made to wear different uniforms) leading to children being beaten up or worse. For example, in New Zealand, a boy was beaten up by boys from a rival school; he said that the boys told him he should be shot because he went to a different school, which they could see from his uniform[17]. Because of this rivalry, it might be better for students not to wear school uniforms on outings, where they might encounter children from other schools. Schools can use other things to make sure children don't get lost on school trips, like buddy schemes where each child has a buddy, and having plenty of teachers or assistant teachers. 1 TVNZ, 2007. Boy beaten as school rivalry heats up [online] 21 October.	CON	5
S54d229b5-A6e26f77f	School uniforms encourage discipline	Having to wear smart clothes encourages children to respect their school and their teachers and behave themselves. This is because of the association between smart clothes and work. Casual wear at school can also make students feel over-relaxed and 'at home,' meaning they don't focus as much on work. A lot of schools are bringing back school uniform because they want to improve discipline[21]. Moreover, school uniform can actively encourage students to enter into an adversarial relationship with the curriculum and their teachers. Exercising arbitrary control over children in the interests of “discipline” is likely to convince them that the very sensible, rational principles of learning and critical thought that they acquire during the school day are equally arbitrary and meaningless. By refusing to allow children to participate in enjoyable, beguiling processes of discovery and understanding unless they comply with unjustified and meaningless rules about dress, schools risk being seen as oppressive and capricious by their students. 1 The Telegraph, 2009. School uniforms return in drive to improve school discipline [online] 1 October. improve this  	PRO	6
S54d229b5-A6ac63c86	Dress Codes instead of school uniform	Rather than having school uniform, why not have a dress code instead? This has all the benefits of uniform without the many disadvantages. While uniforms force all children to wear the same clothes, dress codes give students a lot of choice what to wear. Only a few unsuitable things are banned - for example, gang colors, very short skirts, crop tops, bare shoulders, etc	PRO	7
S54d229b5-A48457593	School uniforms create a sense of equality	There will always be teasing between children. If it's not based on what clothes the kids are wearing, it'll be because of their hair colour[4], or the fact that they wear glasses [5]. Children need to learn from an early age that everyone is different, or how can they learn to accept that? The differences between people should be embraced; in making students wear a uniform, schools are wrongly teaching children that everyone should look the same. When it comes to the opposition's evidence it should be remembered that opinion polls themselves are slippery, depending on the question asked, as is something like a belief in the benefits of school uniforms. There is also no evidence to link parent's belief that it promotes equality to whether it really does. improve this  	CON	8
S54d229b5-Abeb4573c	Ban School Uniforms - Junior	Students should be allowed to wear religious dress	PRO	9
S54d229b5-A10741ec0	School uniforms are often impractical or uncomfortable	A lot of schools have a choice of uniform so that children can wear what they feel most comfortable in. For example, in Australia, which is a very hot country, schools often have a summer uniform of clothes that are more comfortable in the hot weather [9]. This means that in summer, children might be allowed to wear shorts instead of trousers and short-sleeved instead of long-sleeved shirts. If children were allowed to choose their own clothes to wear to school, instead of a uniform, they might choose impractical clothes themselves, like baggy tee shirts or long skirts, or jeans with chains hanging from them. To make sure that children are all wearing sensible clothes in which they will be able to take part in all their school activities, there needs to be one uniform that all children at the school wear.  	CON	10
