id	conclusion	premises	stance	rank
S6053928e-A2388e904	Obesity	"It seems like fast food is almost a daily topic in the news. Whether it is because of their ingredients (such as trans fat), the negative health effects (like diabetes), or being linked to obesity, fast food dominates the headlines. This then begs the question, ""Does fast food cause obesity?"" The simple answer is no. Consuming more calories from food than the body can burn is what causes weight gain. This means that you could eat fast food on a regular basis and not become obese. In fact, you can even lose weight while eating fast food. This, however, requires knowledge of not only how many calories you are burning on a daily basis, but also the calories in the food that you are eating. What Does the Research Say? Fast food is not the cause of obesity in today's society. However, because fast food is typically high in calories and the portions are large, it does promote eating too many calories, which can lead to weight gain and obesity. Beside ""fast food"" there are another causes of obesity: Lack of Energy Balance A lack of energy balance most often causes overweight and obesity. Energy balance means that your energy IN equals your energy OUT. Energy IN is the amount of energy or calories you get from food and drinks. Energy OUT is the amount of energy your body uses for things like breathing, digesting, and being physically active. Overweight and obesity happen over time when you take in more calories than you use. An Inactive Lifestyle Many people aren't very physically active. One reason for this is that many people spend hours in front of TVs and computers doing work, schoolwork, and leisure activities. In fact, more than 2 hours a day of regular TV viewing time has been linked to overweight and obesity. Environment Our environment doesn't support healthy lifestyle habits; in fact, it encourages obesity. Some reasons include: •Lack of neighborhood sidewalks and safe places for recreation. Not having area parks, trails, sidewalks, and affordable gyms makes it hard for people to be physically active. •Oversized food portions. People are exposed to huge food portions in restaurants, fast food places, gas stations, movie theaters, supermarkets, and even at home. Some of these meals and snacks can feed two or more people. Eating large portions means too much energy IN. Over time, this will cause weight gain if it isn't balanced with physical activity. •Lack of access to healthy foods. Some people don't live in neighborhoods that have supermarkets that sell healthy foods, such as fresh fruits and vegetables. Or, for some people, these healthy foods are too costly. Genes and Family History Studies of identical twins who have been raised apart show that genes have a strong influence on a person's weight. Overweight and obesity tend to run in families. Your chances of being overweight are greater if one or both of your parents are overweight or obese. Your genes also may affect the amount of fat you store in your body and where on your body you carry the extra fat. Because families also share food and physical activity habits, a link exists between genes and the environment. Health Conditions Some hormone problems may cause overweight and obesity, such as underactive thyroid (hypothyroidism), Cushing's syndrome, and polycystic ovarian syndrome (PCOS). Underactive thyroid is a condition in which the thyroid gland doesn't make enough thyroid hormone. Lack of thyroid hormone will slow down your metabolism and cause weight gain. You'll also feel tired and weak. Cushing's syndrome is a condition in which the body's adrenal glands make too much of the hormone cortisol. Cushing's syndrome also can develop if a person takes high doses of certain medicines, such as prednisone, for long periods. People who have Cushing's syndrome gain weight, have upper-body obesity, a rounded face, fat Emotional Factors Some people eat more than usual when they're bored, angry, or stressed. Over time, overeating will lead to weight gain and may cause overweight or obesity. Smoking Some people gain weight when they stop smoking. One reason is that food often tastes and smells better after quitting smoking. Another reason is because nicotine raises the rate at which your body burns calories, so you burn fewer calories when you stop smoking. However, smoking is a serious health risk, and quitting is more important than possible weight gain. Lack of Sleep Research shows that lack of sleep increases the risk of obesity. For example, one study of teenagers showed that with each hour of sleep lost, the odds of becoming obese went up. Lack of sleep increases the risk of obesity in other age groups as well. People who sleep fewer hours also seem to prefer eating foods that are higher in calories and carbohydrates, which can lead to overeating, weight gain, and obesity. Sources: http://www.nhlbi.nih.gov... http://weight-loss.emedtv.com..."	CON	1
S6053928e-Ad4c42e7d	Obesity	"This round of mine is going to be really short since, to be frank, there's not much left that I have to do or say. The round breaks down really simply. The con's BOP, as stated by con in Round 1, was ""Con will argue that there must be ways to stop the obesity."" Con has not done this, but rather has pointed out potential illnesses from becoming obese (Round 2), and causes other than fast food that can make someone obese (Round 3). The only attack my opponent makes on my case is that fast food isn't the only cause of obesity and that people can still not gain weight from eatting fast food, however this is faulty for two reasons: a) I never claimed that fast food was THE ONLY cause of obesity. This completely takes out virtualy all of my opponent's last round where she's pointing out other things that can lead to obesity. b) Fast food is still one of the leading causes to obesity,[5][6][7] and with fast food still in play then there's no chance of solving back for the obesity problem, which is my opponent's BOP. Thus, by saying that fast food is irrelevant, she is failing to uphold her BOP. By arguing for fast food being removed, she bites into the negative impact of nuclear war and makes me fulfill my BOP. This is the classic double-bind situation where no matter which route she takes, she still fails to win. Thus, the only vote here is for the pro debator. Thank you. SOURCES (for this round): [5] http://www.cbsnews.com... [6] http://www.livestrong.com... [7] http://www.bariatric-surgery-source.com..."	PRO	2
S6053928e-A28c68b56	Obesity	"A two line response? Oh this is gonna be fun! Incoming text wall! My opponent's only sentance just says a few random downsides to obesity. However, this is going to be massively insufficient of a reason to show, as con put it in the first round, ""that there must be ways to stop the obesity."" If she cannot fulfill her own BOP, then you have to affirm the resolution. My BOP, as stated and agreed upon by myself, is to show why it must continue. I contend that without obesity, as well as leading causes to obesity, the world would end as we know it. My argument shall make one assumption that my opponent may challenge, if she so desires. That assumption is that Fast food restraunts are a leading cause to obesity, and that so long as fast food restraunts exist, obesity shall always remain constant. I feel like this is a perfectly valid assumption, and that it would be highly counter-intuitive for con to attack this assumption, but if they so wish to then they can do so. Anyway, I shall proceed with my case now. >> ECONOMIC IMPACT OF THE FAST FOOD INDUSTRY << It's easy to look at a McDonalds and just think ""Wow, what a bunch of fatties"" or, in my teenage boy case, ""God I'm starved. How much money do I have?"" without actually considering the worth of that very fast food joint. Fast food is, arguably, a major factor in the American economy. More than 3 million people work in the fast food industry in the US alone[1]. Even in a bad economy, McDonalds has reported an increase in third quarter by nearly 11 percent[2]. The fast food industry spent 4.2 billion dollars in 2009 on advertising alone[1]. Spending on fast food has been rapidly growing ever since the '70s. In 1970, Americans spent 6 billion on fast food[3]. Fast forward 30 years, to 2000, and now Americans spend 110 billion in just that year alone[3]. On average, americans spend more money overall on fast food than they do on things like personal computers, computer software, new cars, and higher education (such as colleges and universities)[3]. American spending on fast food is more than the combined total of our spending on things like movies, books, magazines, newspapers, videos, and recorded music[3]. McDonalds ALONE is responsible for 90% of job growth in America[3]. The impact of places like McDonalds on the work-place are almost indescribable. To quote Eric Schlosser:[3] ""In 1968, McDonald’s operated about one thousand restaurants. Today it has about twenty-eight thousand restaurants worldwide and opens almost two thousand new ones each year. An estimated one out of every eight workers in the United States has at some point been employed by McDonald’s. The company annually hires about one million people, more than any other American organization, public or private. McDonald’s is the nation’s largest purchaser of beef, pork, and potatoes - and the second largest purchaser of chicken. The McDonald’s Corporation is the largest owner of retail property in the world. Indeed, the company earns the majority of its profits not from selling food but from collecting rent. McDonald’s spends more money on advertising and marketing than any other brand. As a result it has replaced Coca-Cola as the world’s most famous brand. McDonald’s operates more playgrounds than any other private entity in the United States. It is one of the nation’s largest distributors of toys. A survey of American schoolchildren found that 96 percent could identify Ronald McDonald. The only fictional character with a higher degree of recognition was Santa Claus. The impact of McDonald’s on the way we live today is hard to overstate. The Golden Arches are now more widely recognized than the Christian cross."" Without places like McDonalds, I don't feel like it would an understatement to say that as a society, economically and socially, we would be devastated. >> IMPACT OF REMOVAL OF FAST FOOD << In order for my opponent to successfully refute my case, she MUST advocate for the removal of fast food restaurants, otherwise I'm still fufilling my BOP by advocating them as a massive benefit to our economy. Without the fast food industry, everything that's connected to them takes a massive blow to profits. Advertising, the meat industry, toy companies, all of these things would be hurt. Needless to say, the current recession we're in right now would be nothing compared to what would result from removing fast food from our nation. If our economy is trashed, then the global economy will further fall into the dumps. With our economy in the dumps causing the world economy to go into the dumps, then we would be forced to look to other means to feed our people. As Lieutenant Colonel Bearden writes[4]: ""As the collapse of the Western economies nears, one may expect catastrophic stress on the 160 developing nations as the developed nations are forced to dramatically curtail orders. ... [T]he stress on nations will have increased the intensity and number of their conflicts, to the point where the arsenals of (WMDs) ... are certain to be released. ... [O]nce a few nukes are launched, adversaries and potential adversaries are then compelled to launch on perception of preparations by one's adversary. ... Without effective defense, the only chance a nation has to survive at all, is to launch immediate full-bore pre-emptive strikes. ... [R]apid escalation to full WMD exchange occurs, with a great percent of the WMD arsenals being unleashed."" Thus, if we remove fast food to remove obesity, then we trash our economy. If we trash our economy, then the world economy is trashed. When the world economy is trashed, as Bearden explained, we get nuclear war. Nuclear war will always outweigh harms of obesity on two levels: 1. Nuclear war would mean the essential end of the world and destruction of all man-kind. The death of a few from obesity related illnesses will never compare to the extinction of the human race. 2. Even these obesity related illnesses can be treated and/or cured. Death is unique in that it cannot be treated back for or reverse in the way that most diseases can. Once you're dead, you're basically dead and nothing can really be done about it. This means that we are going to need fast food if we want to survive. Which means that obesity needs to stay around. Which means that you have to affirm the resolution. Vote pro. Sources: [1] - http://www.livestrong.com... [2] - http://www.montrosepress.com... [3] - http://www.nytimes.com... [4] - (Liutenant Colonel Bearden, The Unnecessary Energy Crisis: How We Can Solve It, 2000,http://groups.yahoo.com......)"	PRO	3
Sb5b096db-A6748ad96	Obesity is a disease.	Majority of the population will loose weight if they eat healthy and exercise as i stated originally. There will always be people with issues such as imbalanced hormones that will cause different results. The hormone imbalance would be considered a disease leading to obesity. Obesity is not a disease. Obesity can cause illness and be a result of other conditions but being overweight in itself is not a disease. The genetics that cause diseases such as diabetes and heart disease is absolutely real. Being healthy and good lifestyle choices only helps reduce your risk of being subjected to these diseases. In many cases no matter what you do you will become diabetic because it is in your family but it will always help to be healthy when trying to fight a disease. Overall, eating fatty foods and lack of exercise will result in obesity. You decide what to put into your body and how active your life is. While there are genetic disease that can result in obesity, obesity in itself is not an illness but rather a choice.	CON	4
Sb5b096db-Ac5f4a991	Obesity is a disease.	Though you do make a few valid points, stating their will be people who will become healthy if obese and change their life style there is still the fact that there are those who can change their life style yet will remain obese. Side effect or not, obesity is directly correlated from illnesses that effect a person hormones. You do make a valid point in your second argument but that is more or less off point from the point i was making when i brought it up. I was simply stating a fact that obesity does in fact lead to march harmful diseases that cannot always be fixed by simply eating healthy and exercising. That is to say if an obese person does eat healthy and exercise before they become sick with the various illnesses related to obesity (Heart Disease, Diabetes, etc.). True family history does also play a factor in those illnesses affecting a person's health. Obesity greatly increases those factors. In Conclusion may it be a side effect of some illness or be directly correlated to a person's life style obesity in the long run is a disease. A disease that effects tens of thousands if not millions of people in the United states, and across the globe for that matter. It is a serious issue that should be taken seriously and not written off as a poor life style choice.	PRO	5
S6053928e-Acce95878	Obesity	The topic for this debate is fairly simple and Pretty self explanatory. Con will argue that there must be ways to stop the obesity. Pro will argue that it must continue.There are 3 Rounds, voting period is 1 week, time to argue 72 hours, 8,000 characters allowed.	CON	6
Sefbdcc9f-A879cec18	Obesity is a public health issue .	All around the world, obesity has become a serious threat to public health. And the problem starts early on. In the US, for example, 17% of youth are obese4. Obesity itself has many consequences; most obviously on health such as increasing the risk of numerous diseases like heart disease, there are however economic costs both for treatment of these diseases, lost working days and due to less obvious costs such safety on transport and its resulting fuel cost.[1] Tackling obesity is therefore well within the purview of government policy. A failure to act might seriously affect the economic productivity of the nation, and even bankrupt healthcare systems[2]. A measure like the toy ban would be a first step to tackling the problem at the root, preventing children from growing up into obese adults.   [1] Zahn, Theron, “Obesity epidemic forcing ferries to lighten their loads”, seattlepi, 20 December 2011, http://www.seattlepi.com/local/komo/article/Obesity-epidemic-forcing-fer... [2] “Obesity ‘could bankrupt the NHS’”. BBC. 15 December 2006. http://news.bbc.co.uk/2/hi/health/6180991.stm	PRO	7
Sb5b096db-A37f18196	Obesity is a disease.	Obesity is not a disease. Obesity is a lifestyle. People chose what to put into there bodies. No one drives you to McDonald's, forces you to buy a quarter ponder and consume it. These actions are choices. When you choose to eat burger containing 3x the amount of recommended calories, you should expect to gain weight. Not to mention the ones who wash down the burger with a coke and biggie size french fry. If you make these decisions you are not ill, you are negligent.	CON	8
Sa8af0abf-Aadd9eef2	Curb childhood Obesity for USA	"I would like to start my debate off with some statistics from: ""http://www.annecollins.com...; USA Obesity Rates Reach Epidemic Proportions >more than a third of American children, aged between six and nineteen are either overweight, or at risk of becoming obese >58 Million Overweight; 40 Million Obese; 3 Million morbidly Obese >Eight out of ten over 25 is Overweight >78% of American's not meeting basic activity level recommendations Obesity Related Diseases >80% of type II diabetes related to obesity >70% of Cardiovascular disease related to obesity >42% breast and colon cancer diagnosed among obese individuals >30% of gall bladder surgery related to obesity >26% of obese people having high blood pressure Childhood Obesity Running Out of Control >New study suggests one in four overweight children is already showing early signs of type II diabetes (impaired glucose intolerance) >Between 8% - 45% of newly diagnosed cases of childhood diabetes are type II, associated with obesity. >Of Children diagnosed with Type II diabetes, 85% are obese >60% already have one risk factor for heart disease -Wellness International Network Ltd. web.winltd.com The United States of America Is the fattest country in the world, and obesity is becoming a rising epidemic. Children need to be more involved in school activities. and need to eat right to stay healthy. Parents contribute to this rise in weight, they should control what their children eat, not vice versa. This increase in School activities would cost millions of dollars, but isn't it worth it for protecting our youth? Lunch programs are being paid by Farmers and big companies to provide their products in school. Also, companies are making millions by selling food to children that are high in saturated fats and trans fat which cause major health problems in children. therefore, be it resolved, >that the National School Lunch program should shift it's focus from aiding farmers to providing a nutritious lunch for students. therefore be it resolved. >That commercials should exlude characters (ex.Lucky Charm) that seem appealing to youngsters >That schools should include more activities and teach children that these foods are bad for them, and should be taken in small quantities."	PRO	9
Sb5b096db-A7035c7b5	Obesity is a disease.	Simply put obesity is an uncontrollable pandemic on our society. People do not have to have to eat an unprecedented amount of calories in order to become heavily overweight or obese as some people put it. People can just live their lives and become obese. It is a health issue not a sheer disregard of a person's health; some people just cannot help themselves when it comes to this issue. So just because someone gets a Super-Sized double quarter pounder from McDonalds with a coke, and milk shake does not mean they are obese. For if that logic was correct then soon enough most if not all of children will soon be obese. Sure it means there making a terrible choice with their lunch but it will not make them become obese as you have suggested, though it is not the bone of your argument or i would hope it wasn't anyway. But yet you make it seem that anyone who enjoys Fast Food will start to live a lifestyle of obesity which is a sad mistake and probably a biased outlook on a major issue of today's modern society. Anyone can become obese no matter what they eat. Foods are not the issue in obesity as media and people who are looking for a scapegoat make it seem. The real issue in this matter is a person's body. As a person's body can have many natural parts, act very unnatural, such as hormone imbalance, issues affecting a person's glands, as well as a slow metabolism. All these and other factors can play right into the hands of obesity and the risks that come with it, like Diabetes, High Blood Pressure, and Heart Disease. These are all health issues not lifestyle choices, well last time i checked they were health issues not social, I could be mistaken, just saying.	PRO	10
