	id	conclusion	premises	stance	rank
0	S8d325e50-A2bb9a8c4	A two-state solution is best for peace	Palestinians and Israelis will not be able to live together in peace in the same state any time in the foreseeable future. The idea that Palestinians and Israelis can live in peace and harmony in one state, with tolerance for each other and in keeping with democratic principles of inclusion, is simply naive. This idea has been made impossible by nearly a century of direct conflict between these people. While this might change in coming centuries, it is unacceptable to adopt a one-state policy now based on these naive ideas. Israeli President Shimon Peres has argued: “Establishing a single multinational country is a tenuous path that does not bode well for peace but, rather, enforces the conflict's perpetuation. Lebanon, ravaged by bloodshed and instability, represents only one of many examples of an undesirable quagmire of this nature.”(1) This stance has been endorsed by leaders and officials from around the world: US special envoy George Mitchell has stated “In the case of the Israeli-Palestinian conflict, we believe that the two-state solution, two states living side by side in peace, is the best and the only way to resolve this conflict.”(2) Pope Benedict XVI has similarly called on Israel’s leadership to embrace the two-state solution for peace with the Palestinians: “I plead with all those responsible to explore every possible avenue in the search for a just resolution of the outstanding difficulties, so that both peoples may live in peace in a homeland of their own, within secure and internationally recognized borders.”(3) Even Colonel Gaddafi, the late Libyan leader, argued that a two-state solution was essential for peace.(1) The reason the two-state solution has been recognised as the best for peace is because it respects the democratic will of both peoples for a state of their own. As Peres argues, “The Jewish people want and deserve to live in peace in their rightful, historical homeland. The Palestinian people want and deserve their own land, their own political institutions and their right to self-determination. It is vital that this cause be based on the prospect of coexistence between Jews and Arabs, which translates into cooperation in fields such as the economy, tourism, the environment and defence. Achieving all this will be possible only by granting each people its own state and borders, to enable their citizens to pray according to their faiths, cultivate their cultures, speak their own languages and safeguard their heritages.”(1) Because only a two-state solution allows for this peaceful co-existence and development, a two-state solution is best for peace and thus more justified than a one-state solution.	PRO	1
1	S8d325e50-A3cff66d0	Israelis and Palestinians are too intermingled for a two-state solution	A two-state solution could succeed in partitioning the land and the two peoples by including the largest Israeli settlements within Israel, possibly by allowing for non-contiguous “islands” of Israeli territory around the larger settlements surrounded by the new Palestinian state.(13) In any case, a two-state solution can find practical solutions to these problems, while having the advantage of solving the inherent and insolvable problems of having two opposed nations and identities in perpetual conflict within a single state.	CON	2
2	S8d325e50-Af7ffd3b8	Israelis and Palestinians are too intermingled for a two-state solution	A million Palestinians live throughout Israel even without the West Bank and Gaza strip, and when the Israeli settlements in the West Bank are considered also, it becomes clear that dividing these two populations is simply unfeasible. By comparison, the feasibility of a bi-national state, with the two peoples living in a kind of federation, seems workable. Given this 'reality' on the ground, the most practical solution seems to be a united democratic state offering equal citizenship for all: One Person, One Vote.(12) The ever-expanding Israeli settlements in the West Bank particularly represent a barrier to the separation of the two peoples into two states. In 1993, when Israeli Prime Minister Yitzhak Rabin and Palestine Liberation Organization leader Yasser Arafat famously shook hands on the White House lawn, there were 109,000 Israelis living in settlements across the West Bank (not including Jerusalem). Today there are 275,000, in more than 230 settlements and strategically placed 'outposts' designed to cement a permanent Jewish presence on Palestinian land.(10) Forcibly removing settlers would be too difficult, could foment civil strife among Jewish Israeli citizens, and would create a level of resentment among fundamentalist Jews that would likely inflame the Israeli-Palestinian conflict.	PRO	3
3	S8d325e50-A6589ee1f	Only a two-state solution can satisfy both sides	A two-state solution can offer sufficient territory for both Israelis and Palestinians. For Israel this would mean keeping the vast majority of areas inhabited by Israeli citizens within the state of Israel. The two-state solution would also, however, offer sufficient land to the Palestinians. While cynics might question the size of the West Bank and Gaza, optimists should look no further than Singapore for reassurance. The area of the West Bank and Gaza is nine times as large as Singapore's, yet the combined population of Palestinians in both regions is smaller than that of Singapore. Singapore enjoys one of the highest standards of living in the world. The Palestinians are capable of achieving similar success, through instituting a modern economy based on science, technology and the benefits of peace.(1) Moreover, throughout the years polls have consistently showed respectable Israeli and Palestinian majorities in favour of a negotiated two-state settlement.(6) Even the Iranian President Mahmud Ahmadinezhad has stated that Iran would support a two-state solution to the Israeli-Palestinian conflict. The success of a two-state solution, therefore, would, at a minimum, gain the support and possibly cooperation of the Iranians. This would be valuable diplomatically, particularly in resolving the larger conflict between Iran and the West.(7) Therefore, the best way to satisfy both sides and achieve peace is to adopt a two-state solution, which is therefore the most just solution.	PRO	4
4	S8d325e50-A107eadec	Only a two-state solution can satisfy both sides	Palestinian support for two-state solution declined around 2008, and is waning even among the 'moderate' Palestinian camp, as well as among additional Arab elements.(8) It is also naïve to think that a two-state solution would gain the favour or even support of Iran. Iran wants to be the dominant power in the Middle East, and it wants nuclear weapons so that it can threaten not only Israel but other states in the region.(9) To this end, Iran has an incentive to keep the Israeli-Palestinian conflict big and bloody so as to distract the West from its own regional agenda. Furthermore, an independent Palestinian state would probably be perceived as a security threat to some of its neighbours, particularly Jordan, and thus might actually prompt further tensions.(	CON	5
5	S8d325e50-Acffbf811	Only a one-state solution can end the conflict	It was no less a man than Albert Einstein who believed in 'sympathetic cooperation' between 'the two great Semitic peoples' and who insisted that 'no problem can be solved from the same level of consciousness that created it.' A relative handful of Israelis and Palestinians are beginning to survey the proverbial new ground, considering what Einstein's theories would mean in practice. They might take heart from Einstein's friend Martin Buber, the great philosopher who advocated a bi-national state of 'joint sovereignty,' with 'complete equality of rights between the two partners,' based on 'the love of their homeland that the two peoples share.'(10) This position has been adopted by some Palestinian leaders: In October 2005, Nusseibeh, then president of al-Quds University in Jerusalem, and several other liberal Palestinian political activists and intellectuals held a press conference in Jerusalem, stating: “We are pressing now for equal political and legal rights within a single, democratic Israel, and we are confident that our Israeli brothers and sisters will welcome us and that together we will build a free and democratic state in which Jews and Arabs will live together in peace.”(5) A two-state solution, however, would most likely foster continued conflict, for two reasons. Firstly, a Palestinian state would be base for terrorism. As seen when Israel withdrew from Gaza, the Palestinians there did not embrace the two-state solution, but the Muslim hardliners who controlled Gaza continued to want nothing less than Israel's destruction, and Gaza's newly-elected Hamas government spent much of its money not on the welfare of Palestinians but on attacking Israel.(11) Similarly, a two-state solution makes Israel too narrow and vulnerable. A two-state solution would make Israel only 6 miles wide at a number of points where the West Bank juts into Israeli territory.(1) This creates a number of vulnerabilities, particularly the risk that Israel may become divided during a war (a not unlikely prospect). For all these reasons, a two-state solution cannot offer true peace, but a one-state solution built on co-operation and equal rights can, and so a one-state solution is more just.	PRO	6
6	S8d325e50-A977234df	A two-state solution is best for peace	Simply because past conflict has existed is no reason to believe that peace and understanding cannot be established through co-operation, shared institutions and interaction. This is exactly what a one-state solution would foster in the long term, but which a two-state solution prevents by separating the two communities. Even if they each have a state of their own, unless the Israelis and Palestinians learn to live in proximity to each other in co-operation, there will be no peace.	CON	7
7	S8d325e50-A7b688662	A one-state solution mean Israel would cease to be either democratic or Jewish	The two-state solution would have Israel relinquish the West Bank, known to the Israelis as “Judea and Samaria”. Yet, these are historic regions to the Jews. Israel would similarly have to undermine its identity to give up these two regions, and so any two-state solution acceptable to Israel would have to mean the retention of Judea and Samaria. Because of the large Palestinian population in the West Bank, even a two-state solution would mean Israel could not be both Jewish and democratic.(	CON	8
8	S8d325e50-Aba7dc64a	Only a one-state solution can guarantee equal rights for all	A one-state solution is the most just because a two-state solution would inherently result in a worse situation for the Palestinians than the Israelis, whereas a one-state solution would guarantee equal rights for all. The July 2007 Madrid meeting in favour of a one-state solution put firth that: “A two-state solution is predicated on the unjust premise that peace can be achieved by granting limited national rights to Palestinians living in the areas occupied in 1967, while denying the rights of Palestinians inside the 1948 borders and in the Diaspora.” Thus, the two-state solution condemns Palestinian citizens of Israel to permanent second-class status within their homeland, in a racist state that denies their rights by enacting laws that privilege Jews constitutionally, legally, politically, socially and culturally. Moreover, the two-state solution denies Palestinian refugees their internationally recognized right of return.”(14) A two-state solution, particularly one that enables a Jewish state, would also most likely alienate the Palestinian population remaining within Israel. At best, they would be second class citizens. At worst, they would be pushed out, directly or indirectly.(13) A two-state solution, and the establishment of a Jewish state, would also kill the idea of the return of Palestinian refugees that were expelled from Israel during various wars and conflicts. The Palestinian state created would also- if past experience is any judge- be highly divided (between factions such as Hamas and Fatah) and dysfunctional. This situation would have a material impact on the quality of life of citizens of the new Palestinian.(15)(16) Therefore, a one-state solution is more just than a two-state solution.	PRO	9
9	S8d325e50-Afa950a8c	A one-state solution mean Israel would cease to be either democratic or Jewish	As described in the above quote by Peres, the vast majority of Israelis desire to live in a Jewish homeland in which they can define their own institutions and culture in light of their Jewish heritage. A one-state solution, however, would undermine Israel's legitimacy and internationally recognized right to exist as a sovereign Jewish state in the land of the Jewish forefathers. From Israel's perspective, it is not possible for the Jewish people to accept an arrangement that signifies the end of the existence of a Jewish state, which would be the result of a one-state solution, as the state could not be considered a Jewish one if it housed a very large Palestinian population, possibly even a Palestinian majority.(1) For this reason it is unlikely that any one-state solution would be truly democratic, and rather would be a situation of an Israeli minority ruling over a Palestinian majority, who would be largely excluded from the running of the country and determining their own affairs.(4) A one-state solution would only produce an explosive situation in which Jews would dominate the economy and most other aspects of the new state, creating a reality of exploitation. At that point in time, the new state would be a new form of occupation that would only set the conflict on a more violent track.(5) Therefore, the new state created by a one-state solution would be unacceptable either to Israelis or to Palestinians, as it would cease to be either Jewish or democratic, and so would not be a just outcome. Only a two-state solution can keep Israel Jewish and democratic, and allow a Palestinian state similarly to be Arab and democratic, as it would most likely wish.	PRO	10
