id	conclusion	premises	stance	rank
S2c51f919-A9b7682ba	Humans possess free-will	I'll argue that humans are incapable, by logical deduction, of possessing the meta-physical quality known as 'free-will'. Definitions to be used for this argument and to be agreed upon are as follows: Free-will - a characteristic of a sentient being marked by the ability to influence and decide their own actions, in accordance to their will. In other words, an agent's will has the ability to exercise control in determining the outcome of multiple possible futures. External Coercion - Any force that isn't directly a function or consequence of the agent's own consciousness. This includes sub-conscious, involuntary reactions in addition to forces outside of the human brain, such as weather events or other agents. To win, I would have to explain by rational deduction that it is impossible for such a thing to manifest in an agent. For the opponent to win, they would need to demonstrate or deduce that it is merely possible for free-will to exist, though if they are up to the extra challenge they might go as far as demonstrating that it *does* exist. First round for acceptance? Thank you in advance for whomever takes me on for my first debate here.	CON	1
S2c51f919-A1b394f9a	Humans possess free-will	"Free-will is fundamentally a contradiction; and in demonstrating how, I will show that it can be rationally deduced to non-existence as a meta-physical phenomenon. The only thing that needs hereafter be assumed is the fundamental rule of observed physical laws. But a physical law, in many ways is limited to human understanding and process. The truth is, there are two factions of science that differ in how they describe the movement of time and relationship between matter and time. One theory, under classic physics, suggest there is a single world in the universe, exiting in one perfectly determinable chain of cause and effect. A single, contained, space-time continuum. Each particle in space has only a single possible way it can move through time. A consequence of this model would be that there is no randomness in the movement of matter/energy across time, and all motion is perfectly determined (that is to say, where a particle be in the future is decided from the very beginning of time, a sort of physics equivalent of 'fate'). Then, there is the theory of quantum physics, coupled with its ""indeterminacy"" conclusion. This view of physics differs in that it suggests that on a sub-atomic level, it is demonstrably impossible to predict precisely how a particular particle or wave will behave, but a range of possibilities can be observed. It is commonly deduced that there multiple universes, each splitting off from one another as events occur at the quantum level, where each individual possibility manifests into its own, unique world, mirroring and branching as time passes. To use a common metaphor, each quantum particle is like a dice, in that it has multiple possible faces to land on when tossed. The moment a particle passes to the next unit of time, it's as though it's been thrown, and instead of one face being landed on, all six are, but each in its own separated world. There is one world split off from the previous moment where the dice lands on 1, another branching from the same instant of time where it lands instead on 2, etc. In this way, you can see that it is impossible to know which world we will be 'tossed' into until it happens, there is no way to precisely predict it ahead of time. In this way, the world would not technically operate 'randomly', since each possibility is guaranteed to occur, but in independent worlds. The world you happen to land into isn't 'chance', because you had to be in this world, since you were part of the set of possibilities for each and every one. Better than 'randomly', is the word 'indeterminately', which means it is not possible to know how a particle will behave ahead of time (and thus, which world you will occupy)[1]. One could however imagine a randomness as a possibility. If the quantum indeterminacy remains to be true, but the multiworld theory false, it would follow that particles occupy a single, isolated continuum, or one-world, where in each moment of passing time, each particle expresses itself randomly from a set of possibilities. I. Hard determinism. Determinism is the philosophical meta-physical position that mirrors the classical physics position described above. Determinism states that there is only a single possible future, past and present for all things in the universe. In other words, given enough information, any and all events beyond the present moment could be calculated with absolute precision. A hard determinist believes that while holding to determinism, free-will is not possible. The obvious reasoning is that with only a single, fixed possibility for the future, man may have a will but utterly no freedom. II. Compatibilism. Compatibism is the belief that both determinism and free-will can co-exist. The following is the compatibilist theory as to how this might be [2]: ""the agent had freedom to act according to their own motivation. That is, the agent was not coerced or restrained. Arthur Schopenhauer famously said ""Man can do what he wills but he cannot will what he wills."" As much as I professedly admire Schopenhauer, this is one of those instances where he committed a grave and egregious error. The obvious flaw in this logic is directly admitted, ""man cannot will what he wills"", meaning he is not 'free' to choose the thing that binds his decisions. Stating that we are unable to choose our will is the most blatant, express admission that will is not free I've ever heard from an argument that supposedly supports the same very thing. III. Indeterminism. Its been established quite plainly and obvious how man lacks free-will in the classic-physics model of determinacy, but what of the radical new revolution quantum physics has to offer on the subject? Surely, being that we widely believe the world to be, on some scale, 'indeterminable', that means we have free-will? Unfortunately I have to report that it doesn't. Not knowing the future doesn't alter that it can't be elected by the will of the agent. Sub-atomic particles are responsible for the 'randomness' or indeterminable flow of quantum. At no point does this translate to man's will being 'free', it is only a slave to a dice roll dealt by physics. This will conclude my opening case against free-will, as I will include a discussion on theological terms if my opponent wishes to take the debate in that direction. Until then, I will assume the materialist axiom is suitable for us and the audience. 1. http://en.wikipedia.org... 2. http://en.wikipedia.org..."	CON	2
S2c51f919-A178351b7	Humans possess free-will	"It seems that the majority of your post was dedicated to going into various details in how quantum theory works, but virtually none of it refutes what I've already touched upon in describing quantum, or otherwise demonstrates that my key point in respect to indeterminism not qualifying for free-will. One part that I see that actually seems to be for me to address, is where you ask about infinite possible universes. There is a very big difference between ""all possible universes"", and ""infinite possible universes"". All 'possible universes' would constitute an important part of the mainstream super-string theory, wherein the 10th dimension represents the totality of existence; all possible worlds through all of time considered as a single dimensional point. This does not inherently imply anything is 'infinite', but a finite number in consistency with what the range of possibilities are. This is where I see a problem in trying to describe 'infinite' possible worlds: can impossible things happen in one of these possible worlds? If so, it's literally impossible, if not, it seems as though it cannot be infinite. The idea that something can be possible, implies that something else can be 'impossible', and the possibility of impossibility inherently defies infinity. That anything can be 'possible' implies limitations. So is it even possible for free-will to exist? Not rationally, no. All things that exist, just by virtue of having the characteristic of 'existing', are constrained by some other force. To exist or not, cannot by logical necessity be controlled by the thing that does or doesn't exist. It might be that all things that exist fundamentally exist through all of time as some uniform body, maybe the superstring of the 10th dimension, or existence can be made by some force out of non-existence, but at neither rate can something determine itself, no particle or other unfathomable form of existence, spiritual or not, can logically choose its own nature before it exists. As a consequence, nothing can logically be thought of as having a 'free-will', especially not humans in *this* world or any other possible one."	CON	3
S113e39e8-A9af43a7c	God cannot be morally good while giving humans free will	"Morally good: God is the standard of goodness. Everything good flows form Him (James 1:17). For humans to be morally good, We must conform to the prescribed will of God. Basically follow God's commandments. ? It has not showed himself and the Bible is not evidence of Its work instead a telling of events by a human. It cannot be verified it is instead assumed to be true. What I wanted you to define was a general definition of morally good. God is not the standard of goodness since It did create the Devil knowing full well what It will do. That is not goodness if all a creature does is evil. Free will: God has foreordained all things which come to pass (Acts 4:28 || Proverbs 16:33). God alone has absolute freedom. Man's will is restricted by the nature which God gives him. Since we are sinners by nature (Ephesians 2:3), We can do nothing but sin apart from the grace of God (to be found in Jesus Christ). ""For whatever does not proceed from faith is sin. "" (Romans 14:23b). Debate was about how God is not morally god while also giving humans free will. I am assuming free will exists and God for this debate to occur. Guess I will still rebut this. By saying Man's will is restricted by the nature which God gives him states why we do not have free will. You pretty much made the argument for why free will does not exist. My premise 2 rebuttal of your response. God is partly to blame for the wrongdoings of mankind. God assuming you believe this It is all-knowing which does mean It can know something happens before it happens. The extreme example would be God allows the rapist rape while also watching it take place. To me the act of allowing the rape is wrong and watching it too also shows no empathy by It. My premise 3 rebuttal of your response. You missed the part that It is all-knowing. God knew full well a human would do more evil then good but still allowed for its creation. Not all humans would do more evil then good but some will and God has allowed that to happen. Humans are not all-knowing which is why God is different and many other reasons. If we were all-knowing and allowed for evil to go on that would make us evil but God is somehow an exception. You can say evil occurs for good to occur. As far as I know God is all-knowing and can realise a path where there can be all-good but chooses to gift powers to humans to do evil. To say God is not capable of allowing humans to do all-good is not a fair representation of Its powers. 1. Jesus is not proven to exist so I am assuming he did. Jesus was not human. Humans are flawed but Jesus wasn't. God gave the talents to Jesus but not to humans. That shows God is capable of creating a sinless being but cannot do it for humans. God can but does create humans with sin. To that very act is sinful. 2. I kinda knew you were going to bring up the greater good. God is all-knowing but cannot find a way to have good without evil? Jesus is example of sinless being created by It but It cannot do it for humans. Humans are flawed because God created them that way. By also knowing what they would do and still go with creating them God is to blame for human wrong doings due to nature of Its powers like all-knowing. The Fall of Adam was predicted by God since It is all knowing. Knowing full-well what Adam would do It still allowed Adam to do it. That is another non-act by God to somehow to create a greater good. From what I see Adam and Eve were the originators of humans. The humans with flaws. Meaning by God simply not acting on Adam It allowed Adam to create flawed humans which sin. Given the all-knowing of God's nature It is still to blame for this. God acts when It wants to but doesn't when It doesn't want to. Jesus was created by God to save humanity but where was God to stop the Crusaders committing evil? 3. Our parents made us but they are not away from sin. Fathers can rape their children and mothers can be abusive to you. What makes God different? It is the creator. He wills states the he does not need to do be morally good and still be God. My assertion would be It created us for Its amusment. I choose to believe God does not love us instead created us for his own selfish reasons. Those selfish reasons not need to be morally good since it is Might makes Right. Moral right and wrongs are subjective. To me I determine them by the affect it might have to me and others from my limited perception compared to God. Example: I am cleaning my room. The affect it would have on my mother is that she will have more time to do other things and it would also teach me to be self-reliant. From that I did a morally right thing. I did not need God I only required myself. 4. Will does not give humans a time frame. God can say evil does not go unpunished but from my point of view Bill Cosby raped many people and used his money to only get a sentence of 10 years. Am I supposed to believe he will get his just punishment in the afterlife? There is no evidence for it and God has allowed the evil to go unpunished until Cosby is sent to hell. It is ironic how that works. Do a evil act and this reality and get punished in another. That is not just since from what humans are concerned he died raping women and had a weak sentence at the end of it. 5. God is incomprehensible but you still choose to believe it. Why does God punish us for something we cannot comprehend? That is also evil. To expect to believe God on faith rather then the standard we have progressed to today. If It does not tell us why It allows to evil to go unpunished why should we trust his judgement? Because we have no other choice? This would be a might makes right argument. God is not morally good instead It is our supreme being and we should blindly follow It since we do not have power to do otherwise yet I am allowed to disgrace Its name and many other religions are wrong or maybe Christianity is the wrong religion. I highly doubt you have thoroughly spent your time deciding which religion instead you were born into Christianity. Lets say Christianity is the correct religion what about the Arabian's who have not heard of Christianity or the people of North Korea either? Was that just or a mistake of God. What reason would God give to not allow everyone to know the word of God in the Bible. Simple answer maybe just maybe The Bible is not the word of God and God just might be something that has no impact in our reality. If I was talking from someone from Saudi Arabia they would say the same thing as you but in a different context. You might say to this your religion is right but use similar reasoning as the Arabians. We do not have sufficient reason that God is good since It is all knowing God can find a way to remove evil and only create good but It chooses not to. I don't lack knowledge that Bill Cosby raped many women and is only getting 10 years. We lack knowledge but God made us that way and It would allow me to think that it is Its fault. God all-knowing cannot find a way to only create good but did it with Jesus but not humans. God is not morally good if It allows evil to continue. It is all-knowing and can find a way to create only good but It chose differently. Didn't copy your argument because there was not enough space so I left a number to show which argument I am speaking of. This time you are allowed to rebut in the last round and you were in our previous but you chose not to. Make sure you rebut me in Round 3. Biggest question I would like you to answer. God does not need to be morally good to be God. So why is It morally good? May we still learn something new"	PRO	4
S113e39e8-Ae5244b18	God cannot be morally good while giving humans free will	Copy of the same debate I did before but hopefully this time Against would stay until it is over. I am going by the basis that God does exist. I want the other side to show me how God is morally good while also giving us free will. There are inconsistencies with free will that I can mention but I did think about that it but I will narrow it down to morals to keep it simple. Wanting someone who believes God is morally good not someone who is playing devil's advocate. Arguments starts the round you start. God: the creator and ruler of the universe and source of all moral authority; the supreme being. I'll leave the definition of morally good to Against since it will give them more room to give counter arguments and starting arguments. Premise: 1. By God giving free will to humans It has given the power to humans to do wrong. 2. For God to be morally good It must do what is right. 3. By God giving free will to humans It is not morally good. May both of us learn something new.	PRO	5
S2c51f919-A3c2132ef	Humans possess free-will	Well I suppose I'll just summarize in a very broad way everything I've asserted above: 1. If determinism is true, free-will cannot exist. 2. If indeterminism is true, free-will cannot exist. 3. The world can only be either deterministic or indeterministic. 4. Therefor free-will cannot exist. In another way: 1. Freedom implies without (at least to some extent) constraint. 2. Free-will is 'freedom' in respect to a being's will. 3. Fundamental existence is incompatible with 'not-constrained' 4. Freedom of will is incompatible with existence.	CON	6
S2c51f919-A30510817	Humans possess free-will	Thank you for being a part of this debate. I will argue on the possibility of free-will existing. I accept the challenge this debate presents.	PRO	7
S2c51f919-Ae9db159c	Humans possess free-will	"I would like to thank my opponent for his evidence. In classical mechanics, it was held that there is one world with only one line of events in a chain of cause and effect. This was a possibility for how the universe could be structured and at the time it was a phenomenal idea. Now we have a better understanding of the nature of physics due to changes in our thinking, and new evidence. As our knowledge grew, we become more and more adept at building on our theories of how our environment works. Now we are at the point where we can photograph particles, and see into some of the darkest corners of the universe. Our knowledge only expanded with the advent of quantum mechanics. This piece of mathematical machinery helped to better our understanding of the sub-atomic level, and gain a better glimpse into the workings of our world. In quantum mechanics there are several theories concerning multiple universes. There are some that deal with infinite universes. In one of those universes, could there be a universe that contains intelligent beings with the ability to conduct themselves in a manner of their own choosing, and have the will to do as they please excluding external coercion. With an infinite amount of universes, the possibilities are infinite. This is just one theory of many. My opponent describes two types of possible world systems, a one-world system that is based upon clockwork mechanization's and another that covers multiple worlds. The interesting case of infinite universes was not covered. In quantum mechanics, there is not precise way to predict which world will be next. Once you are in one world, then you are in another one. This all happens in an instant of time. If the possible universes are infinite, then free will has the possibility of existing in a multiverse of many universes. If in the last situation, quantum indeterminacy remains to be true, but multiworld theory false the particles can choose from a random set of possibilities. The mention of whether or not the possibilities are infinite. How are the possibilities constrained? In what set do they exist if everything is random. (1) A position argued from is that there is a lack of human knowledge to find the determinable facts. These were called hidden variables by Einstein. The conclusion reached from these hidden variables is that of a probabilistically determinative way. There was a finding on the quantum mechanics of statistical predictions which would be violated if local hidden variables existed. There has been rational skepticism about the traditional determinism due to the quantum mechanics, as reality is not seemingly absolutely determined (2). Accordingly with the Copenhagen interpretation, the most basic properties of matter at times behave indeterminable. Due to the collapse of the wave function, there is a state at which the system can no longer be predicted. Quantum mechanics only predicts the probabilities of these outcomes. The interpretations of quantum physics must reject locality or reject counterfactual definiteness. One of the problems with the many-worlds theory is its lack of experimentation. We cannot be sure of experimental results. Astronomer Sir Arthur Eddignton commented that, ""a physical object has an ontologically undetermined component that is not due to the epistemological limitations of physical understanding."" This would leave the Uncertainty as an interesting result of quantum indeterminism. It would not be due to hidden variables but indeterminism in nature itself (3). With theory by my side, I pass the debate onto the contender. (1)http://en.wikipedia.org... (2)http://en.wikipedia.org... (3)http://en.wikipedia.org..."	PRO	8
S1854a9c7-A287e8886	Free Will	"I appreciate the continued engagement from my debate opponent. This is turning out to be pretty fun for my first debate experience here. I'll get right into my rebuttal. Con, I think, is starting to delve into topics that aren't relevant to the debate. Con brings up chaos in the universe, which I assume he means to be completely random and unpredictable events, to show that he isn't a determinist. It might be the case that Con is not a determinist about certain events in the universe, maybe there is some randomness, but we are talking about the will and whether it is determined or free. If the will is not free it is determined by past occurrences and external stimuli. If one of these proposed chaotic events happens, it may influence the path that the will will take, but the will is still being determined by that event. Con has stated that they don't believe an agent controls the will, so that leaves the events and stimuli to affect whatever we choose to do, and that is determinism as it applies to the will. Talking about chaos in the universe is just a red herring. My first argument: For someone to be responsible for an action, as it applies to this debate, would mean that there was no constraint on the individual to choose one way or the other and there was no coercion in making that choice and that the choice originated in the individual. It is a moral/rational responsibility. One simply being the actor in an event does not mean they are necessarily responsible for what they have done. For instance, a robot could be the actor in playing a piano, but that robot is not the one responsible for that action. The one who programmed the robot is. The robot could not have not done what its programmer had determined for it to do, and it was not the one who decided to act as such. It only did what it was determined to do. Likewise, if we don't have free will, then we are constrained to do what we do by our programming; what the physical synapses in our brains cause us to do in response to external stimuli. It is not us deciding what to do, but it is the events around us that cause us to act. Therefore, we cannot choose otherwise and we are not the origin of our choices. The dog example fails, I think, to refute what we're speaking of as being responsible in this debate. We do not hold dogs morally responsible when they steal food, because dogs, as far as we know, do not do things with intention. If they do lack a will of any kind, they are simply responding to the external stimuli. That is why we don't charge dogs with theft when they steal food. We don't think they are in control of those kinds of urges. But we as humans not only are responsible for what we do, we expect people who break the law to have been able to not break the law. They should have acted otherwise, and that implies that they actually can. Has Con provided a reason to think my first argument is faulty? I don't think so. They complained about my use of the word responsible, but after clarification, that the responsibility in question is moral/rational responsibility, and expansion on my argument, I think it clearly holds. Until Con can refute either of the premises of this first argument, then by modus tollens, it follows deductively. Second argument: As I predicted, premise 2 is the controversial premise. I don't think Con has actually attempted to deal with the premise. In attacking the premise Con says, ""We can be wrong. It can be the case that what is true is not obvious without further investigation. Such as quantum mechanics. We at one point in history (ancient Greece) could believe that we have to be able to choose, but as time goes by we learn more and more how more and more of our actions are in fact determined."" I don't know how this is supposed to counter to my argument. Con is begging the question in a couple of different ways. 1) Con is assuming a rational process of coming to knowledge when he says that we have discovered that our actions are determined after all. That is exactly what is up for debate; is a rational process of discovering truth possible if our wills are determined? 2) He's assuming our actions are determined, which is the subject of this debate. Not to mention that this really doesn't matter. Of course we can be wrong about things. But if our wills are determined, then what we're wrong about we couldn't have been right about. As philosopher William Lane Craig points out: **""There is a sort of dizzying, self-defeating character to determinism. For if one comes to believe that determinism is true, one has to believe that the reason he has come to believe it is simply that he was determined to do so. One has not in fact been able to weigh the arguments pro and con and freely make up one's mind on that basis. The difference between the person who weighs the arguments for determinism and rejects them and the person who weighs them and accepts them is wholly that one was determined by causal factors outside himself to believe and the other not to believe. When you come to realize that your decision to believe in determinism was itself determined and that even your present realization of that fact right now is likewise determined, a sort of vertigo sets in, for everything that you think, even this very thought itself, is outside your control. Determinism could be true; but it is very hard to see how it could ever be rationally affirmed, since its affirmation undermines the rationality of its affirmation.""** http://www.reasonablefaith.org... Con says, ""The defense of premise 2 all hinges on determinism which I don't maintain because I understand that there are certain unpredictable things in the quantum world that do not have free will."" But we aren't talking about unpredictability in the quantum world, we're talking about whether the will is free. If it is not, then it is determined. So while Con may not believe all events are determined, certainly he believes the will is; he's said he does. If not, then I have no idea what we're debating. Con may be surprised to learn that quantum indeterminacy is actually quite popular among free will theorists such as Robert Kane. They think that it may actually point to the origin of making free choices. Con is using a free will argument. Con is correct in that we are talking about the source of actions. Unless we choose our actions, we aren't the source of them. Something else would be. Con seems to not realize that agent causation is not the only theory of libertarian free will. There are several options that do not appeal to an immaterial agent. Since my opponent's quibble with premise 2 didn't really substantively deal with it, and begged the question, I think that argument 2 is still sound. I have offered 2 arguments for free will that I think are good and have withstood the scrutiny offered so far. But remember, my opponent also bears a burden of proof. If you recall, they claim that free will is not only false, are arguing against the very idea of free will. So, my opponent needs to 1) refute my arguments, 2) argue that free will is in fact false, and 3) show that free will is somehow an incoherent concept. Unless and until this is done, I think it is clear that free will is coherent and we actually posses it."	PRO	9
S113e39e8-A6bfbcc4d	God cannot be morally good while giving humans free will	"God: The Triune God revealed through creation and the Bible. Morally good: God is the standard of goodness. Everything good flows form Him (James 1:17). For humans to be morally good, We must conform to the prescribed will of God. Basically follow God's commandments. Free will: God has foreordained all things which come to pass (Acts 4:28 || Proverbs 16:33). God alone has absolute freedom. Man's will is restricted by the nature which God gives him. Since we are sinners by nature (Ephesians 2:3), We can do nothing but sin apart from the grace of God (to be found in Jesus Christ). ""For whatever does not proceed from faith is sin. "" (Romans 14:23b). Analysis of your argument: P1: I accept this premise. P2: I deny this premise. God does not derive His goodness by conforming to some moral law greater than Himself. Rather, God is the transcendent One, Who gives us the moral law. God is Goodness. If I could rewrite this premise, It would say ""God is morally good. Therefore, He must always do what is right"". P3: I deny this premise (or conclusion)? It does not logically follow from your first two premises because you have two different senses of ""doing wrong"". God doing wrong, Is different from, God giving humans the ability to do wrong. Normally in life, We do not hold responsible the primary cause for the secondary cause's sin. If I give a man a shovel, And the man murders another with it, Then I am not morally responsible. My argument: God has a morally sufficient reason for the evil that exists. 1. There is no one (besides Jesus) who deserves to live in a world free from evil. We are all under the wrath of God, And we all deserve an eternity in Hell. Anything short of this is not injustice, But it is mercy. 2. God works greater good through evil. The Fall of Adam ultimately resulted in the Gospel of Christ. Genesis 50:20 ""As for you, You meant evil against me, But God meant it for good in order to bring about this present result, To preserve many people alive"". Romans 8:28 ""And we know that for those who love God all things work together for good, For those who are called according to his purpose. "" 3. God has a right to do as He wills. Firstly, He made us, And everything flows from Him. Romans 9:20 says ""But who are you, O man, to answer back to God? Will what is molded say to its molder, “Why have you made me like this? ”"". Secondly, As previously stated, God is the standard for goodness. To accuse Him of evil is to adopt some other arbitrary standard of goodness. If you are going to accuse God of not being morally good, It would be helpful to me if you would state how you determine moral rights and wrongs. 4. God will avenge evil. Deuteronomy 32:35 says ""Vengeance is mine, And recompense, For the time when their foot shall slip; for the day of their calamity is at hand, And their doom comes swiftly. "" Evil does not go unpunished. People will either pay for their sins eternally in Hell, Or Jesus took upon Himself their guilt on the cross. God is a Just. 5. There is a sense of mystery to this. What I mean by ""mystery"" is not a magic trump card where I win, You lose. Rather, I mean that God is incomprehensible. God reveals some things to us, And not other things. Deuteronomy 29:29 says ""The secret things belong to the LORD our God, But the things that are revealed belong to us and to our children forever"". Neither do we have perfect access to the mind of God. Isaiah 55:8 says ""For my thoughts are not your thoughts, neither are your ways my ways, ” declares the LORD. "" What I mean by all this: We have sufficient reason to believe that God is good, But God has not revealed to us why He works His will in particular ways. So, We can know that God is good even through this present evil, And yet we lack knowledge as to why exactly He would use evil at all."	CON	10
