id	conclusion	premises	stance	rank
Sbcf7c3c3-Ae45bb6c7	Earth is FLATT?!?!?!?!??!!!	The earth is not flat. We have pictures of the earth, and the picture shows that it is round. God does not talk to people directly at this point in time. Also, you have numerous grammatical errors in your argument.	CON	1
Sbcf7c3c3-A5bba139e	Earth is FLATT?!?!?!?!??!!!	Alright. If you are really talking to the all-knowing God (Psalm 139:1-4), have him tell you my first, middle, and last name. Also, ask him my home address, my political party, and whom I would have dinner with if I could have dinner with any guest on earth. Also, you have failed to disprove my pictures.	CON	2
Saac15ba6-Aacf76249	The earth is flat.	"My opponent's rebuttal for not seeing a specular highlight is one that is used as an excuse for many holes in the ball earth theory: it's too big. My opponent ignores the actual mathematics involved in measuring the earth entirely. So let's see once again, exactly how big the earth actually is. At one mile, granted, 8 inches is very slight, but we don't live on a slope, so the next mile should be showing four times that amount of drop, 32 inches. At three miles, a 6 foot drop, hiding another human. My opponent what attempted to undermine this argument, saying things like: ""It is unclear to me whether or not my opponent understands optics to a high degree"" ""he proposes incorrect models of optics to base his statements"" With no specific rhyme or reason. https://yourlogicalfallacyis.com... He continues: ""one significant error with his argument is his statement; where he proposes that on a flat mirror/surface, the reflection would be elongated."" I've never made this statement. Ocean surfaces are not mirror like in the least. Though some bodies of water are relatively flat, as in the salt flats during the flood season. http://torontominiclub.com... These flats are about 4,000 sq ft. Of mirrors during this season. He continues with: ""even more so when cast in light of the presence of waves,"" Which is why we don't see mirror reflections in every body of water. Yet the light from the sun should not even be reflecting on these waves at all. According to the model my that con defends, the sun is below the observer's feet upon sunset. Which means that this statement: ""the experiment suggested by my opponent does not consider that we would have to hold the part of the material closest to our face, so that it would be parallel to our line of sight with the light-source"" Cannot work with his model. http://askanastronomer.org... https://yourlogicalfallacyis.com... http://eoimages.gsfc.nasa.gov... In this picture the sun is far enough way from the cloud formation to create (almost) parallel rays. This doesn't mean that the sun is 93,000,000 miles away. This is how light works. http://www.debate.org..."	PRO	3
Saac15ba6-Afbb7914a	The earth is flat.	"First, I will thank my opponent for accepting this debate; I wish him good luck in doing so. My opening argument is rather simple: I will diagnose the mutually exclusive possibilities of a model in which the earth is flat, and how it does or does not fit with simple observation. The flat earth model states that, in supposed correlation with the presence of time-zones, the sun setting is nothing more than said sun reaching a certain distance (usually accepted as 10,000km; yet that is a minor detail), from which no light can reach the viewer, causing night. Ignoring the lack of evidence or structure that would allow such a phenomenon to occur, this model still does not correlate with simple observation, as explained hence: If the sun was to ""set"" in this manner, we would stop seeing it in the sky after reaching a certain angle above the horizon. This is supported by the principles of perspective, those dictated by the simple laws of trigonometry (easily demonstrable with a piece of paper). Depending on the supposed altitude of the sun, the angle above the horizon in which it would set would be no lower than two degrees (as per: http://pastebin.com...); this means that according to the flat earth, the sun and no part whatsoever thereof could ever be lower than two degrees above the horizon, and that being with the most generously low estimate for the sun's altitude. Evidently, the sun reaches lower than two degrees over the horizon, as demonstrated by the following images (a handful out of a thousand, not to mention personal experience anyone can try at the right time): http://scontent.cdninstagram.com... https://c1.staticflickr.com... https://tradeashesforbeauty.files.wordpress.com... http://www.captaindanswatertours.com... Not to mention the sun (or parts thereof, easier to demonstrate) going BENEATH THE HORIZON. If the sun was to go under the horizon on a flat earth, the entire world would go dark at once; this clearly isn't the case, meaning that the sun would have to constantly hover over the horizon. It clearly doesn't, leaving the conclusion to be almost obvious; as the flat earth is hereby impossible. Of course, I could also mention the fact that the angular size of the sun does not change to the degree it should on a flat earth; but that is another argument for another debate, as (for this debate specifically,) each contender is allowed only one argument. And before I close my opening argument; I'd like to address the rebuttal I already see coming from my opponent, one regarding refraction; so if he does indeed use that as an argument, I can already give a guarantee that my counter-rebuttal is ready in hand. And so, as in the beginning of this round; I would like to wish my opponent, Edlvsjd, good luck."	CON	4
Saac15ba6-A98a1de3d	The earth is flat.	"It is unclear to me whether or not my opponent understands optics to a high degree (nothing wrong with that); but whatever the case, I will do my best to try and explain the issues with his argument. What his argument seems to say is that the earth, begin a convex structure, should have light reflect off it in a way that does not comply with evidence. The rebuttal, as simple as it is; is, at its heart, a matter of scale. Because of the size and distance of the earth, the curve is indeed too small to cause us to see specular highlights in a way that would stand out so that it appeared significantly different from the reflections of a mirror. Furthermore, he proposes incorrect models of optics to base his statements; and so, I will now go into detail regarding my rebuttal: First, one significant error with his argument is his statement; where he proposes that on a flat mirror/surface, the reflection would be elongated. This can be refuted by simply using a mirror (and was already addressed in my previous debate with the gent); and as I have stated before, due to the earth being so large and close to us, the difference it being curved would make, would be negligible to say the least; even more so when cast in light of the presence of waves (water waves, not light waves; in case you got confused); significantly changing how we see the reflection either ways. To go into further detail, my opponent provides a diagram which supposedly demonstrates how we should be able to see reflections of the sun. The issue here, is that his statement: ""It would even be safe to say that a reflection of the sun would be impossible to see, since the observer is at point 1 in this diagram. (6) The reflection would only be visible at 7."", is simply false. Light reflecting off a low angle, near point 1, would continue forth in a similar angle, (from below,) until reaching the viewer, at 1. It would be most definitely possible to see this reflection on a spherical earth; this is simple optics. And to address the continuation of his argument; given that even after 100km of distance, we still have less than one kilometer of curve; the effect would be negligible (think about something that is one meter long, yet at one corner, only one centimeter high). But aside from that, the experiment suggested by my opponent does not consider that we would have to hold the part of the material closest to our face, so that it would be parallel to our line of sight with the light-source; this would accurately represent the system in which we see the sun, and this would allow us to see the reflection. And if even that wasn't enough, I HAVE already explained how we could see the reflection on a spherical earth beforehand."	CON	5
Sfcb35149-A6ba6d940	The Earth is irrefutably flat	You miss the point: the argument is that the universe is a simulation, and therefore Earth isn't designed like some flat ornate table of spherical space but a tiny part of a cosmic machine that in its specific format (due to its small size) would have to be flat relative to the shape of the entire machine. For instance, a table at the macro level is flat: on the micro level however, not so. At the macro level, compared to the rest of the universal machine, Earth would be a simple flat component of it, not a strange 3D shape. Another example: at the macro level, a disc look flats yet on closer examination is full of indents giving it a non-flat shape on the micro level. As such, one does not have to divert to feudal understandings (giving you something easier to debate against) to argue for a flat earth, but give you the harder question of whether the Simulation Hypothesis is true or false (making your hoped response of: 'You idiot! The scientific method!' redundant).	PRO	6
Saac15ba6-A6feb767	The earth is flat.	I explained in the last round how con's arguments and mine were very similar, yet different. The difference is important because the evidence I provide is directly related to the earth, and how a source of light acts upon it, while con is trying to prove his position by observing the sun, and how it acts in the sky. That being said, cons argument is just his misunderstanding of perspective, coupled with his obsession with mathematics. Con assumes a few things in his equations. First, the distance to the sun from the closest point on earth. While flat earth websites claim that the sun is 3,000 miles, or, as con claims, 100km above the earth, I cannot make this claim. I've seen the sun at no more than 10 or so miles high (0). Granted, these are videos and can be faked of course, but add these together with crepuscular rays(0a) , which are seen by literally everyone, and it is enough for me to conclude that estimating what and where the sun is is mere speculation. Con will pull his text book out, explain crispucular rays away like RR tracks, but there is an obvious difference in the angles. I'm very impressed with con's ability to come up with measurements using angles and so forth, but as I will show, mathematics is NOT absolute. You cannot factor for everything in an equation. Let us look at some sunrises.{1) As we can see at 1:00, the sun comes up NOT in the shape of a waning moon(2b), but more of a waxing moon(2a). This tells me that this shape is due to atmospheric blockage, which get thinner with altitude, not coming over some curvature. Atmosphere can be very thick even over small distances, as seen on foggy days. This is at a relatively high altitude, so we know we are pretty clear of most any higher ground than that of the observer, contrary to this timelapse of the sun, done lower, yet not quite sea level.(3) Notice at about 2:18, there is a pretty solid darker line, forming the transition from visible terra firma to a layer of thick atmosphere, 1,000 miles of it, as my opponent mentions. This atmosphere is no doubt blocking light from coming through, and sure enough, at 3:43, the sun is peeking over this patch of atmosphere, and not the ground plane. In instances where the observer is very close to the ground plane(4), this is where the earth itself is blocking the sun... Let me explain. The earth is far from perfectly and mathematically flat. There are waves, swells, hills, etc. Perspective causes the horizon to rise up to the eye's level. This is the point of convergence, where all lines converge. If a swell is at or near this point, it's peak will be above this point. Essentially the horizon will move up, and block any light behind it. These swells vary obviously, in both size, and distance to the POC. Note how the horizon rises and falls. These swells get very large on the ocean, so until you can get higher than these, you won't even see the combination of more than 4 miles of atmosphere. Sources in the comments.	PRO	7
Saac15ba6-A924e2709	The earth is flat.	"Thanks again for inviting me to debate about the flat earth. My opponent's wishes caught me a little unbalanced, because I feel that the most powerful argument for a flat earth is a preponderance of evidence in the dichotomy, versus the opposition. Occam's razor is a close second. Neither of these options would be viable, so I'll have to choose one that my opponent and our voters can understand. Since my opponent loves the words mirage and refraction, Chicago was out, so it fell to number 4 on my list, and it happens to be similar to my opponent's opening argument... but different in a very important way, more on this point in the rebuttal round. The specular highlight. Light reflects off of convex surfaces in unique ways. I'll just pull one of my opponent's sources here for starters. (1)(2) This is a linear reflection. The light from the sun or moon is elongated here, and mirror like here. (3) but there's the problem, curved surfaces produce specular highlights on a ball (4), and shrunken, warped reflections on a ball.(5) These expected results have never been found. That should be the only truth anyone should ever need really. It would even be safe to say that a reflection of the sun would be impossible to see, since the observer is at point 1 in this diagram. (6) The reflection would only be visible at 7. Samuel Rowbotham wrote in Zetectic Astronomy: IF the earth is a globe, and is 25,000 English statute miles in circumference, the surface of all standing water must have a certain degree of convexity--every part must be an arc of a circle. From the summit of any such arc there will exist a curvature or declination of 8 inches in the first statute mile. In the second mile the fall will be 32 inches; in the third mile, 72 inches, or 6 feet"" When the math is done (7), it should curve 6 feet down in just 3 miles from the sea level, and, being a ball, would curve very sharply with over a mile drop from only 100 miles, so we should see these effects on our lakes and oceans. It would be a very noticable drop. To show this in observational experimentation, flatten out a long piece of reflective material, such as sheet metal. I like to use the side with imperfections, to simulate waves. Since we are very close to the earth in comparison to the sun, we hold the material up to the eye, and point it at a source of light, now bend that material, even the slightest, and the reflection will not remain. Now consider where the sun is at the time if sunset for any observer. Logically, any curve would interrupt this line of light between the source of light and the observer, this is the reason we see shadows being cast by ripples. Since this reflection is impossible to get on a ball, but experimentally reproduced with a flat surface, this is an empirical proof that there is no curvature. https://docs.google.com..."	PRO	8
Sfcb35149-A1b10c146	The Earth is irrefutably flat	First and Only Point: If we, as human beings, are indeed living in a computer-generated simulation, who is to say if the people who rendered this simulation would have modeled the earth as a spheroid or a flat plane, which resets our debate back to its very beginnings. Is the earth itself flat? Regardless as to whether or not we live in a simulation, and if the hardware used to power it is flat, we do not know if the Earth would be rendered as a sphere, so, we are forced to debate medieval Catholicism. At least, the flat-earth part of it.	CON	9
Sfcb35149-A7184686	The Earth is irrefutably flat	Why our planet Earth could be flat: P1 Our universe is possibly a simulation. P2 The hardware that generates simulations is usually flat. P3 The Earth is part of the universe. C The Earth possibly flat. P1 Our universe is possibly a simulation. (Bostrom 2003): https://www.simulation-argument.com... P2 The hardware that generates simulations is usually flat. Photographs, computers, paintings, discs, and fiction... all these mediums can be said to hold a form of simulated world yet are simultaneously flat in nature. If (P1) is true, accounting for the connection of non-localised particles regardless of space, then it is likely that space is illusory and all the substantive content of the universe is contained on one piece of hardware. Ergo, the universe and the world alike are possibly retained on a flat medium. P3 The Earth is part of the universe. Apodictic--needing no further justification.	PRO	10
